SG_UF;SQ_CANDIDATO;CD_TIPO_BEM_CANDIDATO;DS_TIPO_BEM_CANDIDATO;VR_BEM_CANDIDATO
TO;270001697127;11;APARTAMENTO;23000.0
TO;270001697127;11;APARTAMENTO;905270.0
TO;270001697127;21;VEICULO AUTOMOTOR TERRESTRE: CAMINHAO, AUTOMOVEL, MOTO, ETC.;15000.0
TO;270001697127;21;VEICULO AUTOMOTOR TERRESTRE: CAMINHAO, AUTOMOVEL, MOTO, ETC.;35800.0
TO;270001697127;21;VEICULO AUTOMOTOR TERRESTRE: CAMINHAO, AUTOMOVEL, MOTO, ETC.;78000.0
TO;270001697127;21;VEICULO AUTOMOTOR TERRESTRE: CAMINHAO, AUTOMOVEL, MOTO, ETC.;135812.24
TO;270001697127;21;VEICULO AUTOMOTOR TERRESTRE: CAMINHAO, AUTOMOVEL, MOTO, ETC.;3000.0
TO;270001697127;21;VEICULO AUTOMOTOR TERRESTRE: CAMINHAO, AUTOMOVEL, MOTO, ETC.;1500.0
TO;270001697127;13;TERRENO;30000.0
TO;270001697127;61;DEPOSITO BANCARIO EM CONTA CORRENTE NO PAIS;5.57
TO;270001697127;61;DEPOSITO BANCARIO EM CONTA CORRENTE NO PAIS;13580.16
TO;270001697127;61;DEPOSITO BANCARIO EM CONTA CORRENTE NO PAIS;59.85
TO;270001697127;61;DEPOSITO BANCARIO EM CONTA CORRENTE NO PAIS;0.0
TO;270001697127;61;DEPOSITO BANCARIO EM CONTA CORRENTE NO PAIS;0.0
TO;270001697127;61;DEPOSITO BANCARIO EM CONTA CORRENTE NO PAIS;452.81
TO;270001697127;61;DEPOSITO BANCARIO EM CONTA CORRENTE NO PAIS;0.01
TO;270001697127;97;VGBL - VIDA GERADOR DE BENEFICIO LIVRE;810106.51
TO;270001697141;13;TERRENO;175000.0
TO;270001697141;13;TERRENO;800000.0
TO;270001697141;12;CASA;700000.0
TO;270001697141;15;SALA OU CONJUNTO;150000.0
TO;270001697141;99;OUTROS BENS E DIREITOS;100000.0
TO;270001697141;21;VEICULO AUTOMOTOR TERRESTRE: CAMINHAO, AUTOMOVEL, MOTO, ETC.;140000.0
TO;270001697141;21;VEICULO AUTOMOTOR TERRESTRE: CAMINHAO, AUTOMOVEL, MOTO, ETC.;120000.0
TO;270001697141;13;TERRENO;80000.0
TO;270001697141;13;TERRENO;683000.0
TO;270001697141;13;TERRENO;300000.0
TO;270001697141;32;QUOTAS OU QUINHOES DE CAPITAL;4900.0
TO;270001697141;19;OUTROS BENS IMOVEIS;20000.0
TO;270001697141;11;APARTAMENTO;520000.0
TO;270001697141;99;OUTROS BENS E DIREITOS;64000.0
AL;20001610327;21;VEICULO AUTOMOTOR TERRESTRE: CAMINHAO, AUTOMOVEL, MOTO, ETC.;42490.0
AL;20001610327;11;APARTAMENTO;65000.0
AL;20001610327;13;TERRENO;150000.0
AL;20001610327;12;CASA;300000.0
PE;170001715331;11;APARTAMENTO;390000.0
PE;170001715590;61;DEPOSITO BANCARIO EM CONTA CORRENTE NO PAIS;14822.33
PE;170001715590;61;DEPOSITO BANCARIO EM CONTA CORRENTE NO PAIS;16429.79
PI;180001600497;41;CADERNETA DE POUPANCA;5.53
PI;180001600497;41;CADERNETA DE POUPANCA;3168.27
PI;180001600497;41;CADERNETA DE POUPANCA;129.14
PI;180001600497;2;PREDIO COMERCIAL;100000.0
PI;180001600497;11;APARTAMENTO;380000.0
PI;180001600497;19;OUTROS BENS IMOVEIS;75000.0
PI;180001600497;12;CASA;150000.0
PI;180001600497;1;PREDIO RESIDENCIAL;550000.0
PI;180001600497;19;OUTROS BENS IMOVEIS;100000.0
PI;180001600497;21;VEICULO AUTOMOTOR TERRESTRE: CAMINHAO, AUTOMOVEL, MOTO, ETC.;15000.0
PI;180001600497;21;VEICULO AUTOMOTOR TERRESTRE: CAMINHAO, AUTOMOVEL, MOTO, ETC.;94240.32
PI;180001600497;21;VEICULO AUTOMOTOR TERRESTRE: CAMINHAO, AUTOMOVEL, MOTO, ETC.;68870.0
PI;180001600497;45;APLICACAO DE RENDA FIXA (CDB, RDB E OUTROS);250000.0
PI;180001600497;99;OUTROS BENS E DIREITOS;100000.0
PI;180001600497;63;DINHEIRO EM ESPECIE - MOEDA NACIONAL;50000.0
AL;20001651898;13;TERRENO;13500.0
AL;20001651898;45;APLICACAO DE RENDA FIXA (CDB, RDB E OUTROS);2143.67
AL;20001651898;61;DEPOSITO BANCARIO EM CONTA CORRENTE NO PAIS;20449.85
AL;20001651898;49;OUTRAS APLICACOES E INVESTIMENTOS;2910.45
AL;20001651898;11;APARTAMENTO;617900.0
AL;20001651898;13;TERRENO;16500.0
AL;20001651898;13;TERRENO;24000.0
AL;20001651898;21;VEICULO AUTOMOTOR TERRESTRE: CAMINHAO, AUTOMOVEL, MOTO, ETC.;85000.0
AL;20001651898;32;QUOTAS OU QUINHOES DE CAPITAL;90000.0
AL;20001651898;45;APLICACAO DE RENDA FIXA (CDB, RDB E OUTROS);42737.7
BA;50001600527;11;APARTAMENTO;270000.0
BA;50001600527;21;VEICULO AUTOMOTOR TERRESTRE: CAMINHAO, AUTOMOVEL, MOTO, ETC.;39000.0
RJ;190001609389;45;APLICACAO DE RENDA FIXA (CDB, RDB E OUTROS);60000.0
RJ;190001609389;61;DEPOSITO BANCARIO EM CONTA CORRENTE NO PAIS;18916.0
BA;50001603638;41;CADERNETA DE POUPANCA;16330.0
BA;50001603638;11;APARTAMENTO;315000.0
BA;50001603638;12;CASA;100000.0
