SQ_CANDIDATO;NM_CANDIDATO;NM_PARTIDO;SG_UF;QT_VOTOS_NOMINAIS_VALIDOS;VR_BEM_CANDIDATO;VR_DESPESA_CONTRATADA
10001595336;NILSON EUCLIDES DA SILVA;PARTIDO SOCIALISMO E LIBERDADE;AC;1125;513900.0;213127.5
10001601556;SERGIO DE OLIVEIRA CUNHA;PARTIDO SOCIAL DEMOCRATICO;AC;27393;3744024.59;3016571.3
10001606307;DAVID SOARES HALL;AGIR;AC;771;12500.0;99998.0
10001612476;GLADSON DE LIMA CAMELI;PROGRESSISTAS;AC;242100;5161383.4399999995;4077998.59
10001616169;JORGE NEY VIANA MACEDO NEVES;PARTIDO DOS TRABALHADORES;AC;103265;3663896.66;2462596.06
10001623440;MARCIO MIGUEL BITTAR;UNIAO BRASIL;AC;4773;3323739.2600000002;3346242.69
10001639519;CYLMARA FERNANDES DA ROCHA GRIPP;MOVIMENTO DEMOCRATICO BRASILEIRO;AC;47173;183527.53;2887762.58
20001610327;CICERO FERREIRA DE ALBUQUERQUE;PARTIDO SOCIALISMO E LIBERDADE;AL;17749;557490.0;226424.2
20001651898;RUI SOARES PALMEIRA;PARTIDO SOCIAL DEMOCRATICO;AL;157746;915141.6699999999;4359294.16
20001653458;LUCIANO ANDRE COSTA DE ALMEIDA;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;AL;2110;;0.0
20001695808;RODRIGO SANTOS CUNHA;UNIAO BRASIL;AL;407220;515278.45;
20001697076;FERNANDO AFFONSO COLLOR DE MELLO;PARTIDO TRABALHISTA BRASILEIRO;AL;223585;6208817.09;1160649.0
20001697934;PAULO SURUAGY DO AMARAL DANTAS;MOVIMENTO DEMOCRATICO BRASILEIRO;AL;708984;5139384.67;
20001717270;LUCIANO VALDOMIRO SILVA FONTES;PARTIDO DA MULHER BRASILEIRA;AL;2737;6500.0;0.0
30001610045;GIANFRANCO GUSMAO DE AZEVEDO;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;AP;1588;265000.0;17250.0
30001619676;CLECIO LUIS VILHENA VIEIRA;SOLIDARIEDADE;AP;222168;88520.23;3271431.38
30001620571;GILVAM PINHEIRO BORGES;MOVIMENTO DEMOCRATICO BRASILEIRO;AP;4510;;499811.3
30001639521;GESIEL DE SOUZA OLIVEIRA;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;AP;8704;160000.0;13233.0
30001643108;JAIME DOMINGUES NUNES;PARTIDO SOCIAL DEMOCRATICO;AP;176208;35774294.92;3846507.8
40001610345;CARLOS EDUARDO DE SOUZA BRAGA;MOVIMENTO DEMOCRATICO BRASILEIRO;AM;401817;35789885.79;
40001618329;CAROLINE DA SILVA BRAZ;PARTIDO DEMOCRATICO TRABALHISTA;AM;87114;640786.35;6578995.54
40001619528;WILSON MIRANDA LIMA;UNIAO BRASIL;AM;819784;296832.58999999997;
40001639064;LUIS RICARDO SALDANHA NICOLAU;SOLIDARIEDADE;AM;217588;141000.0;5816359.6
40001643027;AMAZONINO ARMANDO MENDES;CIDADANIA;AM;355377;3908118.95;5005025.95
40001718559;NAIR QUEIROZ BLAIR;AGIR;AM;0;5330000.0;400000.0
40001719168;ISRAEL FONTES DUTRA;PARTIDO SOCIALISMO E LIBERDADE;AM;21229;;194322.55
40001719317;JOSE HENRIQUE OLIVEIRA;PODEMOS;AM;9596;744800.0;7014728.08
50001600527;KLEBER ROSA DE SOUZA;PARTIDO SOCIALISMO E LIBERDADE;BA;48239;309000.0;1008169.6799999999
50001603638;JERONIMO RODRIGUES SOUZA;PARTIDO DOS TRABALHADORES;BA;4019830;515216.13;
50001604884;JOAO INACIO RIBEIRO ROMA NETO;PARTIDO LIBERAL;BA;738311;5561182.609999999;4517939.63
50001609248;ANTONIO CARLOS PEIXOTO DE MAGALHAES NETO;UNIAO BRASIL;BA;3316711;41718572.69;
50001695915;MARCELO MILLET OLIVEIRA;PARTIDO DA CAUSA OPERARIA;BA;0;;0.0
50001719849;GIOVANI DAMICO;PARTIDO COMUNISTA BRASILEIRO;BA;5951;75000.0;69258.01
60001608845;WAGNER SOUSA GOMES;UNIAO BRASIL;CE;1649213;1057122.45;10345398.74
60001608950;JOSE BATISTA NETO;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;CE;1507;105000.0;32703.9
60001612926;ROBERTO CLAUDIO RODRIGUES BEZERRA;PARTIDO DEMOCRATICO TRABALHISTA;CE;734976;763108.65;11318720.98
60001633585;ELMANO DE FREITAS DA COSTA;PARTIDO DOS TRABALHADORES;CE;2808300;72162.76000000001;11455141.91
60001634109;SERLEY DE SOUSA LEAL;UNIDADE POPULAR;CE;1881;177915.5;60300.0
60001692640;FRANCISCO RAIMUNDO MALTA DE ARAUJO;PARTIDO COMUNISTA BRASILEIRO;CE;3015;90000.0;14266.35
70001597108;LEANDRO ANTONIO GRASS PEIXOTO;PARTIDO VERDE;DF;434587;285000.0;2494076.04
70001601117;CLEMENTINA ARAUJO BAGNO DA SILVA;PARTIDO SOCIALISMO E LIBERDADE;DF;13613;;533131.25
70001611377;ROBSON RAYMUNDO DA SILVA;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;DF;841;;6998.0
70001615674;LEILA GOMES DE BARROS REGO;PARTIDO DEMOCRATICO TRABALHISTA;DF;79597;551162.34;4707463.45
70001651044;IBANEIS ROCHA BARROS JUNIOR;MOVIMENTO DEMOCRATICO BRASILEIRO;DF;832633;79808818.88;6769114.32
70001651176;IZALCI LUCAS FERREIRA;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;DF;70584;8705446.03;4130138.47
70001653885;LUIZ CARLOS LUCAS SALLES;DEMOCRACIA CRISTA;DF;4218;1351768.64;230267.1
70001667057;ELZIOVAN MATIAS MORENO LIMA;PARTIDO TRABALHISTA BRASILEIRO;DF;94100;;1163439.7
70001699367;TEODORO ANTONIO DA CRUZ FILHO;PARTIDO COMUNISTA BRASILEIRO;DF;1155;25000.0;53803.0
70001723172;PAULO OCTAVIO ALVES PEREIRA;PARTIDO SOCIAL DEMOCRATICO;DF;123715;618868229.48;1844848.9
80001606304;ARIDELMO JOSE CAMPANHARO TEIXEIRA;PARTIDO NOVO;ES;15786;29817033.43;352601.0
80001609415;VINICIUS CASSIO CORREA DE SOUSA;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;ES;4505;;10913.119999999999
80001649123;JOSE RENATO CASAGRANDE;PARTIDO SOCIALISTA BRASILEIRO;ES;976652;2031420.09;
80001713735;AUDIFAX CHARLES PIMENTEL BARCELOS;REDE SUSTENTABILIDADE;ES;135512;1570000.0;3973019.04
80001721262;CARLOS HUMBERTO MANNATO;PARTIDO LIBERAL;ES;800598;10242436.66;
80001721631;CLAUDIO CESAR MATTOS PAIVA;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;ES;1418;98000.0;7910.0
80001723584;GUERINO LUIZ ZANON;PARTIDO SOCIAL DEMOCRATICO;ES;146177;738632.4299999999;663767.8
90001615815;GUSTAVO MENDANHA MELO;PATRIOTA;GO;879031;946133.99;6643908.82
90001618706;EDIGAR ANTONIO DINIZ JUNIOR;PARTIDO NOVO;GO;9565;1037782.7100000001;126563.35
90001646326;RONALDO RAMOS CAIADO;UNIAO BRASIL;GO;1806892;24874436.19;9633590.22
90001648642;WOLMIR THEREZIO AMADO;PARTIDO DOS TRABALHADORES;GO;243561;1091000.0;1020852.09
90001651833;VITOR HUGO DE ARAUJO ALMEIDA;PARTIDO LIBERAL;GO;516579;1490114.99;7310463.0200000005
90001674691;CINTIA APARECIDA DIAS;PARTIDO SOCIALISMO E LIBERDADE;GO;19577;561000.0;236335.92
90001675056;HELGA MARIA MARTINS DE PAULA;PARTIDO COMUNISTA BRASILEIRO;GO;6993;188181.80000000002;74457.95
90001695572;VINICIUS GOMES DA PAIXAO;PARTIDO DA CAUSA OPERARIA;GO;0;36295.0;0.0
90001712074;REINALDO ASSIS PANTALEAO;UNIDADE POPULAR;GO;5400;22000.0;6708.33
100001599612;WEVERTON ROCHA MARQUES DE SOUSA;PARTIDO DEMOCRATICO TRABALHISTA;MA;714352;4247977.0;12129770.879999999
100001600008;HERTZ DA CONCEICAO DIAS;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;MA;5191;;25980.0
